age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,def_pd,def_qb_hur,def_sacks,def_solo,def_tfl,def_tot,defensive_td
21.0,,,,,,1,1,0,3,3.397721052673738,1,0,,-9.8,20.2,30.3,21.0,4.0,0.0,,,,4,0.2721088435374149,4.25,1.923743070572264,0.0,0.0,0.0,7.0,0.5,11.0,0.0
24.0,,,,,,0,1,0,2,,0,0,,2.0,21.7,20.3,99.0,5.0,0.0,,,,9,0.6164383561643835,3.966666666666667,1.9700843872781693,1.0,2.0,6.5,21.0,7.5,48.0,0.0
22.0,71.0,199.0,,,,1,0,0,3,,0,0,,21.6,44.2,24.3,55.0,5.0,0.0,-1.271074299206282,-0.8778645391770556,-1.0744694191916688,1,0.0714285714285714,5.384615384615385,1.12089707663561,,,,,,,
21.0,72.0,194.0,,,,1,1,0,3,,0,0,,18.7,28.3,11.6,16.0,4.0,0.0,-0.8146030439485996,-0.9950437621840792,-0.9048234030663392,7,0.4861111111111111,4.191304347826087,1.959661858470061,5.0,0.0,0.0,24.0,3.0,35.0,0.0
22.0,71.0,186.0,4.45,,,1,1,0,3,6.928539767067528,1,0,94.86431955785577,24.1,36.6,10.8,21.0,5.0,0.0,-1.271074299206282,-1.182530518995317,-1.2268024091007996,4,0.2857142857142857,4.633333333333334,1.884296874869689,5.0,1.0,0.0,33.0,4.0,52.0,0.0
23.0,79.0,325.0,,24.5,101.0,1,0,0,3,1.745732457900242,4,1,,23.4,36.5,15.8,5.0,5.0,0.0,1.4678572206622924,0.8651101449213937,1.166483682791843,3,0.5084745762711864,3.989189189189189,2.0955158885135967,,,,,,,
24.0,78.0,310.0,,29.0,105.0,1,0,0,3,3.9763039362307255,2,0,,18.9,46.6,26.3,35.0,5.0,0.0,0.7890457786959345,-0.3844933977428448,0.2022761904765448,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
22.0,71.0,190.0,4.48,42.0,135.0,1,1,0,3,8.554400138421899,3,1,94.33471476321712,10.5,31.6,22.2,24.0,5.0,0.0,-1.271074299206282,-1.088787140589698,-1.17993071989799,4,0.2962962962962963,4.25,1.923743070572264,4.0,0.0,0.0,31.0,1.0,45.0,0.0
23.0,74.0,256.0,,,,1,1,0,3,,0,0,,32.4,47.7,14.6,40.0,5.0,0.0,0.098339466566765,0.4579786031030134,0.2781590348348892,5,0.3571428571428571,4.166666666666667,1.8347152500215944,5.0,8.0,7.5,42.0,12.0,73.0,0.0
22.0,76.0,332.0,5.08,30.0,106.0,1,0,0,3,4.449219456757307,5,1,99.70414881619644,16.2,34.2,17.6,2.0,5.0,0.0,-0.5685771052367812,1.4482584648313717,0.4398406797972952,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
23.0,74.0,205.0,4.63,30.5,116.0,1,0,0,3,3.3194004665399337,4,1,89.21952210271476,12.7,16.0,5.1,21.0,5.0,0.0,0.098339466566765,-0.7372494715686273,-0.3194550025009311,4,0.273972602739726,4.25,1.923743070572264,,,,,,,
22.0,71.0,220.0,4.64,34.5,,1,1,0,3,4.527214965042263,3,1,94.9250324482066,-6.3,26.3,30.3,27.0,5.0,0.0,-1.271074299206282,-0.3857118025475565,-0.8283930508769193,4,0.2857142857142857,4.557692307692308,1.8933678007611927,5.0,0.0,0.0,69.0,8.5,87.0,0.0
22.0,69.0,203.0,4.45,36.0,124.0,1,1,0,3,6.231304205666938,3,1,103.5347143561544,19.4,39.8,19.6,50.0,5.0,0.0,-2.184016809721647,-0.7841211607714367,-1.4840689852465418,4,0.2857142857142857,4.557692307692308,1.8933678007611927,1.0,0.0,2.0,41.0,2.5,60.0,1.0
21.0,76.0,315.0,4.98,28.5,105.0,1,0,0,3,5.135873734073793,3,1,102.42905793298311,15.4,40.8,26.5,32.0,4.0,0.0,-0.5685771052367812,0.032041116478568,-0.2682679943791066,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
21.0,74.0,198.0,4.52,31.0,118.0,1,1,0,3,3.119434331290143,4,1,94.8727406879036,9.1,25.4,16.6,25.0,4.0,0.0,0.098339466566765,-0.9013003837784604,-0.4014804586058476,4,0.273972602739726,4.25,1.923743070572264,1.0,3.0,1.0,35.0,4.0,71.0,0.0
23.0,75.0,258.0,4.69,36.5,124.0,1,0,0,3,5.477568740938032,3,1,106.64937894894746,10.0,31.3,22.4,48.0,5.0,0.0,0.5548107218244475,0.5048502923058229,0.5298305070651352,9,0.6428571428571429,3.966666666666667,1.9700843872781693,,,,,,,
21.0,76.0,332.0,4.91,34.0,115.0,1,0,0,3,8.620573460955175,3,1,114.24629132976334,14.0,33.7,18.7,28.0,4.0,0.0,-0.5685771052367812,1.4482584648313717,0.4398406797972952,3,0.588235294117647,3.989189189189189,2.0955158885135967,,,,,,,
23.0,74.0,250.0,,38.0,128.0,1,0,0,1,6.456797522642345,3,1,,,,,,5.0,0.0,0.098339466566765,0.3173635354945851,0.2078515010306751,9,0.625,3.966666666666667,1.9700843872781693,,,,,,,
21.0,70.0,180.0,4.45,35.0,124.0,1,1,0,3,5.608121719108861,6,1,91.80418021727976,19.8,43.3,23.9,1.0,4.0,0.0,-1.7275455544639642,-1.3231455866037454,-1.5253455705338548,4,0.2721088435374149,4.25,1.923743070572264,6.0,0.0,0.0,22.0,1.0,30.0,0.0
22.0,75.0,264.0,,36.5,120.0,1,1,0,3,5.72491843606639,3,1,,13.6,37.7,22.9,23.0,5.0,0.0,0.5548107218244475,0.6454653599142512,0.6001380408693493,9,0.6428571428571429,3.966666666666667,1.9700843872781693,0.0,10.0,4.5,23.0,10.0,43.0,0.0
23.0,73.0,202.0,,,,1,1,0,3,2.1428388682633464,1,0,,-2.6,23.8,24.7,30.0,5.0,0.0,-0.3581317886909173,-0.8075570053728415,-0.5828443970318794,4,0.2857142857142857,4.557692307692308,1.8933678007611927,4.0,0.0,0.0,32.0,1.0,55.0,0.0
22.0,76.0,309.0,,,,1,0,0,3,,0,0,,7.8,41.7,35.0,57.0,5.0,0.0,-0.5685771052367812,-0.4678003005871273,-0.5181887029119543,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
22.0,,,,,,0,1,0,3,,0,0,,15.0,45.7,30.1,64.0,5.0,0.0,,,,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
21.0,77.0,240.0,4.79,32.5,120.0,1,1,0,3,3.842474569036391,3,1,91.17991514915668,9.9,35.6,26.1,36.0,4.0,0.0,1.467753232339812,0.0830050894805379,0.775379160910175,6,0.4444444444444444,3.8472222222222223,2.0872498397613364,1.0,0.0,8.0,39.0,12.0,55.0,0.0
23.0,68.0,187.0,4.43,33.5,121.0,1,1,0,1,6.126570024092173,6,1,97.10837736063306,,,,,5.0,0.0,-2.640488064979329,-1.1590946743939123,-1.8997913696866209,7,0.4761904761904761,4.191304347826087,1.959661858470061,1.0,0.0,0.0,15.0,2.0,19.0,5.0
21.0,74.0,197.0,,,122.0,1,1,0,3,5.29141496445158,1,0,,13.8,31.7,20.0,5.0,4.0,0.0,0.098339466566765,-0.924736228379865,-0.41319838090655,7,0.5,4.191304347826087,1.959661858470061,4.0,2.0,0.0,34.0,1.5,51.0,0.0
21.0,74.0,249.0,4.63,30.0,127.0,1,1,0,3,5.13349308900273,6,1,108.36907806622428,19.1,30.8,12.1,11.0,4.0,0.0,0.098339466566765,0.2939276908931804,0.1961335787299727,5,0.3401360544217687,3.875,2.276693508870558,2.0,4.0,6.5,18.0,9.5,27.0,0.0
21.0,74.0,248.0,,32.5,126.0,1,1,0,3,5.060264174559866,2,0,,16.2,34.2,17.6,2.0,4.0,0.0,0.098339466566765,0.2704918462917757,0.1844156564292703,9,0.6164383561643835,3.966666666666667,1.9700843872781693,0.0,10.0,6.0,35.0,10.0,55.0,0.0
24.0,,,,,,0,0,0,1,,0,0,,,,,,5.0,0.0,,,,9,0.6164383561643835,3.966666666666667,1.9700843872781693,,,,,,,
22.0,74.0,245.0,4.58,40.0,130.0,1,0,0,2,7.011502708009686,6,1,111.36126817515483,-3.2,29.9,33.0,127.0,5.0,0.0,0.098339466566765,0.2001843124875615,0.1492618895271633,5,0.3401360544217687,4.166666666666667,1.8347152500215944,,,,,,,
22.0,72.0,231.0,,34.5,116.0,1,1,0,3,4.341657027658361,3,1,,13.3,35.4,20.9,35.0,5.0,0.0,-0.8146030439485996,-0.1279175119321045,-0.4712602779403521,5,0.3571428571428571,4.166666666666667,1.8347152500215944,6.0,7.0,3.5,34.0,9.5,68.0,0.0
22.0,75.0,256.0,4.68,34.0,121.0,1,1,0,3,5.513207758767927,6,1,106.73000964663186,24.1,36.6,10.8,21.0,5.0,0.0,0.5548107218244475,0.4579786031030134,0.5063946624637304,9,0.6428571428571429,3.966666666666667,1.9700843872781693,0.0,11.0,4.0,14.0,8.5,34.0,0.0
23.0,72.0,233.0,4.6,36.0,122.0,1,1,0,3,5.486157298156025,3,1,104.07695798685684,18.7,28.3,11.6,16.0,5.0,0.0,-0.8146030439485996,-0.0810458227292951,-0.4478244333389474,5,0.3472222222222222,4.166666666666667,1.8347152500215944,1.0,3.0,2.5,36.0,4.5,74.0,0.0
23.0,77.0,302.0,5.22,36.5,110.0,1,0,0,3,6.753568892953105,5,1,81.3495072384836,3.5,28.3,26.6,8.0,5.0,0.0,0.1102343367295766,-1.0509486204971052,-0.4703571418837642,3,0.4615384615384615,3.989189189189189,2.0955158885135967,,,,,,,
23.0,78.0,343.0,5.05,28.0,102.0,1,0,0,3,4.203445786760684,5,1,105.47720261043392,19.1,30.8,12.1,11.0,5.0,0.0,0.7890457786959345,2.36463439611848,1.5768400874072073,3,0.5357142857142857,3.989189189189189,2.0955158885135967,,,,,,,
22.0,74.0,246.0,4.73,37.5,117.0,1,1,0,3,4.724332883659234,6,1,98.29253590355644,10.7,33.0,22.2,56.0,5.0,0.0,0.4093968248508584,1.403519936538841,0.90645838069485,2,0.2631578947368421,5.0,,,,,,,,
