player,year,team,career_av
Isaiahh Loudermilk,2021,PIT,6.0
Israel Mukuamu,2021,DAL,4.0
JC Latham,2024,TEN,11.0
JD Bertrand,2024,ATL,3.0
JJ Pegues,2025,LVR,1.0
JL Skinner,2023,DEN,2.0
JT Tuimoloau,2025,IND,1.0
JT Woods,2022,LAC,1.0
Ja'Sir Taylor,2022,LAC,8.0
Ja'Tyre Carter,2022,CHI,2.0
JaCoby Stevens,2021,PHI,0.0
Jabari Zuniga,2020,NYJ,1.0
Jabril Cox,2021,DAL,3.0
Jack Anderson,2021,BUF,2.0
Jack Campbell,2023,DET,26.0
Jack Jones,2022,NWE,15.0
Jack Kiser,2025,JAX,1.0
Jack Sawyer,2025,PIT,2.0
Jackson Powers-Johnson,2024,LVR,6.0
Jackson Slater,2025,TEN,1.0
Jacob Monk,2024,GNB,2.0
Jacob Parrish,2025,TAM,3.0
Jacob Phillips,2020,CLE,5.0
Jaden Crumedy,2024,CAR,0.0
Jaden Davis,2024,ARI,0.0
Jaden Hicks,2024,KAN,4.0
Jaelan Phillips,2021,MIA,23.0
Jaelyn Duncan,2023,TEN,3.0
Jahdae Barron,2025,DEN,3.0
Jake Andrews,2023,NWE,7.0
Jake Camarda,2022,TAM,8.0
Jake Moody,2023,SFO,5.0
Jake Witt,2023,IND,
Jakorian Bennett,2023,LVR,6.0
Jalen Carter,2023,PHI,24.0
Jalen Graham,2023,SFO,0.0
Jalen Mayfield,2021,ATL,7.0
Jalen McLeod,2025,JAX,
Jalen Pitre,2022,HOU,21.0
Jalen Rivers,2025,CIN,3.0
Jalon Walker,2025,ATL,5.0
Jalyn Armour-Davis,2022,BAL,5.0
Jalyx Hunt,2024,PHI,9.0
Jamal Hill,2024,HOU,2.0
Jamar Johnson,2021,DEN,0.0
Jamaree Caldwell,2025,LAC,3.0
Jamaree Salyer,2022,LAC,19.0
James Houston,2022,DET,4.0
James Hudson,2021,CLE,9.0
James Lynch,2020,MIN,6.0
James Pearce,2025,ATL,3.0
James Smith-Williams,2020,WAS,15.0
James Wiggins,2021,ARI,0.0
James Williams,2024,TEN,3.0
Jamien Sherwood,2021,NYJ,16.0
Jamin Davis,2021,WAS,16.0
Jammie Robinson,2023,CAR,1.0
Janarius Robinson,2021,MIN,2.0
Jaquan Brisker,2022,CHI,15.0
Jaquelin Roy,2023,MIN,2.0
Jared Verse,2024,LAR,22.0
Jared Wilson,2025,NWE,7.0
Jarrett Kingston,2024,SFO,0.0
Jarrett Patterson,2023,HOU,8.0
Jarrian Jones,2024,JAX,5.0
Jarrick Bernard-Converse,2023,NYJ,0.0
Jarvis Brownlee,2024,TEN,7.0
Jashon Cornell,2020,DET,0.0
Jason Marshall,2025,MIA,1.0
Jason Pinnock,2021,NYJ,16.0
Jason Strowbridge,2020,MIA,1.0
Jason Taylor,2023,LAR,0.0
Javon Bullard,2024,GNB,7.0
Javon Foster,2024,JAX,0.0
Javon Kinlaw,2020,SFO,27.0
Javon Solomon,2024,BUF,4.0
Javontae Jean-Baptiste,2024,WAS,1.0
Jay Toia,2025,DAL,0.0
Jay Tufele,2021,JAX,5.0
Jay Ward,2023,MIN,6.0
Jaycee Horn,2021,CAR,22.0
Jaylan Ford,2024,NOR,2.0
Jaylen Harrell,2024,TEN,3.0
Jaylen Key,2024,NYJ,
Jaylen Reed,2025,HOU,1.0
Jaylen Twyman,2021,MIN,
Jaylen Watson,2022,KAN,13.0
Jaylin Simpson,2024,IND,0.0
Jaylin Smith,2025,HOU,0.0
Jaylinn Hawkins,2020,ATL,17.0
Jaylon Carlies,2024,IND,3.0
Jaylon Johnson,2020,CHI,30.0
Jaylon Jones,2023,IND,11.0
Jeff Gladney,2020,MIN,5.0
Jeff Gunter,2022,CIN,1.0
Jeff Okudah,2020,DET,11.0
Jeffrey Bassa,2025,KAN,1.0
Jer'Zhan Newton,2024,WAS,7.0
Jeremiah Owusu-Koramoah,2021,CLE,22.0
Jeremiah Trotter Jr.,2024,PHI,4.0
Jeremy Chinn,2020,CAR,41.0
Jeremy Crawshaw,2025,DEN,3.0
Jermaine Johnson II,2022,NYJ,19.0
Jerrick Reed,2023,SEA,0.0
Jesse Luketa,2022,ARI,3.0
Jevon Holland,2021,MIA,25.0
Ji'Ayir Brown,2023,SFO,11.0
Jihaad Campbell,2025,PHI,6.0
Jimmy Morrissey,2021,LVR,1.0
Joe Alt,2024,LAC,12.0
Joe Tippmann,2023,NYJ,16.0
Joe Tryon-Shoyinka,2021,TAM,23.0
Joey Porter Jr.,2023,PIT,14.0
John Michael Schmitz,2023,NYG,14.0
John Penisini,2020,DET,6.0
John Reid,2020,HOU,2.0
John Ridgeway,2022,DAL,7.0
John Williams,2025,GNB,
Jon Gaines,2023,ARI,4.0
Jonah Elliss,2024,DEN,3.0
Jonah Laulu,2024,IND,10.0
Jonah Monheim,2025,JAX,2.0
Jonah Savaiinaea,2025,MIA,6.0
Jonas Sanker,2025,NOR,7.0
Jonathan Ford,2022,GNB,1.0
Jonathan Garvin,2020,GNB,3.0
Jonathan Greenard,2020,HOU,32.0
Jonathan Marshall,2021,NYJ,0.0
Jonathon Cooper,2021,DEN,32.0
Jordan Battle,2023,CIN,12.0
Jordan Burch,2025,ARI,1.0
Jordan Davis,2022,PHI,24.0
Jordan Elliott,2020,CLE,27.0
Jordan Fuller,2020,LAR,18.0
Jordan Glasgow,2020,IND,2.0
Jordan Hancock,2025,BUF,1.0
Jordan Howden,2023,NOR,7.0
Jordan Jackson,2022,NOR,1.0
Jordan Jefferson,2024,JAX,1.0
Jordan Magee,2024,WAS,4.0
Jordan McFadden,2023,LAC,2.0
Jordan Morgan,2024,GNB,9.0
Jordan Phillips,2025,MIA,6.0
Jordan Smith,2021,JAX,0.0
Jordan Stout,2022,BAL,8.0
Jordon Riley,2023,NYG,4.0
Jordyn Brooks,2020,SEA,43.0
Josaiah Stewart,2025,LAR,2.0
Jose Ramirez,2023,TAM,0.0
Joseph Ossai,2021,CIN,10.0
Josh Ball,2021,DAL,1.0
Josh Conerly,2025,WAS,8.0
Josh Hayes,2023,TAM,4.0
Josh Metellus,2020,MIN,20.0
Josh Newton,2024,CIN,3.0
Josh Paschal,2022,DET,9.0
Josh Simmons,2025,KAN,4.0
Joshua Ezeudu,2022,NYG,5.0
Joshua Farmer,2025,NWE,3.0
Joshua Kaindoh,2021,KAN,0.0
Joshua Karty,2024,LAR,2.0
Joshua Uche,2020,NWE,9.0
Joshua Williams,2022,KAN,6.0
Joshuah Bledsoe,2021,NWE,0.0
Josiah Scott,2020,JAX,3.0
Jovaughn Gwyn,2023,ATL,1.0
Jowon Briggs,2024,CLE,5.0
Juice Scruggs,2023,HOU,7.0
Julian Blackmon,2020,IND,20.0
Julian Okwara,2020,DET,5.0
