player,year,team,career_av
Quez Watkins,2020,PHI,13.0
Quinshon Judkins,2025,CLE,4.0
Quintez Cephus,2020,DET,5.0
RJ Harvey,2025,DEN,6.0
Racey McMath,2021,TEN,0.0
Rachaad White,2022,TAM,26.0
Rashee Rice,2023,KAN,16.0
Rasheen Ali,2024,BAL,1.0
Rashod Bateman,2021,BAL,20.0
Ray Davis,2024,BUF,10.0
Raymond Calais,2020,TAM,0.0
Rhamondre Stevenson,2021,NWE,28.0
Ricky Pearsall,2024,SFO,8.0
Ricky White,2025,SEA,0.0
Robbie Ouzts,2025,SEA,0.0
Roman Wilson,2024,PIT,2.0
Rome Odunze,2024,CHI,12.0
Romeo Doubs,2022,GNB,23.0
Rondale Moore,2021,ARI,12.0
Ronnie Bell,2023,SFO,1.0
Roschon Johnson,2023,CHI,6.0
Ryan Flournoy,2024,DAL,5.0
Sam LaPorta,2023,DET,21.0
Samori Toure,2022,GNB,2.0
Savion Williams,2025,GNB,1.0
Seth Williams,2021,DEN,0.0
Shi Smith,2021,CAR,4.0
Simi Fehoko,2021,DAL,1.0
Skyy Moore,2022,KAN,5.0
Snoop Conner,2022,JAX,0.0
Stephen Sullivan,2020,SEA,1.0
Tahj Brooks,2025,CIN,0.0
Tahj Washington,2024,MIA,0.0
Tai Felton,2025,MIN,0.0
Tank Bigsby,2023,JAX,8.0
Tank Dell,2023,HOU,12.0
Tanner McLachlan,2024,CIN,0.0
Teagan Quitoriano,2022,HOU,1.0
Tee Higgins,2020,CIN,43.0
Tejhaun Palmer,2024,ARI,0.0
Terrace Marshall Jr.,2021,CAR,6.0
Terrance Ferguson,2025,LAR,2.0
Tetairoa McMillan,2025,CAR,9.0
Tez Johnson,2025,TAM,3.0
Theo Johnson,2024,NYG,7.0
Thomas Fidone,2025,NYG,0.0
Tip Reiman,2024,ARI,0.0
Tommy Tremble,2021,CAR,7.0
Tory Horton,2025,SEA,2.0
Travis Etienne,2021,JAX,33.0
Travis Hunter,2025,JAX,5.0
Tre Harris,2025,LAC,3.0
Tre Nixon,2021,NWE,
Tre Tucker,2023,LVR,13.0
Tre' McKitty,2021,LAC,1.0
TreVeyon Henderson,2025,NWE,8.0
Trestan Ebner,2022,CHI,0.0
Trevor Etienne,2025,CAR,1.0
Trey Benson,2024,ARI,3.0
Trey McBride,2022,ARI,29.0
Trey Palmer,2023,TAM,6.0
Trey Sermon,2021,SFO,4.0
Treylon Burks,2022,TEN,7.0
Troy Franklin,2024,DEN,8.0
Tucker Kraft,2023,GNB,15.0
Tutu Atwell,2021,LAR,14.0
Ty Chandler,2022,MIN,6.0
Tyjae Spears,2023,TEN,13.0
Tylan Wallace,2021,BAL,3.0
Tyler Allgeier,2022,ATL,20.0
Tyler Badie,2022,BAL,2.0
Tyler Davis,2020,JAX,0.0
Tyler Johnson,2020,TAM,9.0
Tyler Scott,2023,CHI,2.0
Tyler Warren,2025,IND,9.0
Tyquan Thornton,2022,NWE,7.0
Tyrie Cleveland,2020,DEN,0.0
Tyrion Davis-Price,2022,SFO,1.0
Tyrone Tracy Jr.,2024,NYG,14.0
Van Jefferson,2020,LAR,19.0
Velus Jones Jr.,2022,CHI,3.0
Wan'Dale Robinson,2022,NYG,20.0
Will Mallory,2023,IND,2.0
Will Shipley,2024,PHI,2.0
Woody Marks,2025,HOU,6.0
Xavier Hutchinson,2023,HOU,6.0
Xavier Legette,2024,CAR,8.0
Xavier Worthy,2024,KAN,13.0
Zach Charbonnet,2023,SEA,16.0
Zach Davidson,2021,MIN,0.0
Zach Evans,2023,LAR,0.0
Zack Kuntz,2023,NYJ,0.0
Zack Moss,2020,BUF,18.0
Zamir White,2022,LVR,5.0
Zander Horvath,2022,LAC,0.0
Zay Flowers,2023,BAL,33.0
