age,height,weight,combine_invite,has_college_stats,age_estimated,conference_tier,ras_drills_used,ras_reliable,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,td_int_ratio,yards_per_attempt,completion_pct,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rush_att,rush_long,rush_td,rush_yds,rush_ypc
22.0,,,0,1,0,3,0,0,16.2,37.7,21.5,12.0,5.0,0.0,,,,10,5.0,3.788732394366197,2.2735465872743936,6.333333333333333,7.318518518518519,63.33333333333333,270.0,171.0,0.633,3.0,19.0,1976.0,7.3,63.0,26.0,3.0,258.0,4.1
24.0,75.0,217.0,1,1,0,3,4,1,17.6,38.2,21.4,57.0,5.0,0.0,0.2674523475799732,-0.099654769311829,0.083898789134072,10,5.2631578947368425,3.788732394366197,2.2735465872743936,6.0,8.690140845070422,67.20321931589537,497.0,334.0,0.672,7.0,42.0,4319.0,8.7,97.0,58.0,5.0,241.0,2.5
24.0,76.0,220.0,1,1,0,3,0,0,20.1,35.0,16.4,68.0,5.0,0.0,0.8291022774979107,0.2195783052633569,0.5243402913806338,10,4.166666666666666,3.788732394366197,2.2735465872743936,6.75,9.850174216027874,70.38327526132404,287.0,202.0,0.704,4.0,27.0,2827.0,9.9,41.0,12.0,2.0,-25.0,-0.6
22.0,75.0,218.0,1,1,0,3,0,0,5.5,35.8,28.9,72.0,5.0,0.0,0.2674523475799732,0.0067562555465662,0.1371043015632697,10,4.166666666666666,3.788732394366197,2.2735465872743936,2.4166666666666665,7.752688172043011,65.77060931899642,558.0,367.0,0.658,12.0,29.0,4326.0,7.8,63.0,29.0,3.0,-58.0,-0.9
23.0,77.0,236.0,1,1,0,3,5,1,19.8,43.3,23.9,1.0,5.0,0.0,1.390752207415848,1.9221547029976824,1.6564534552067651,10,5.0,3.788732394366197,2.2735465872743936,8.6,10.08557457212714,69.68215158924205,409.0,285.0,0.697,5.0,43.0,4125.0,10.1,61.0,26.0,3.0,50.0,0.8
23.0,74.0,217.0,1,1,0,3,5,1,28.3,46.8,18.6,6.0,5.0,0.0,-0.2941975823379641,-0.099654769311829,-0.1969261758248966,10,5.0,3.788732394366197,2.2735465872743936,8.0,11.434250764525991,76.45259938837921,327.0,250.0,0.765,4.0,32.0,3739.0,11.4,26.0,14.0,1.0,-7.0,-0.3
23.0,73.0,219.0,1,1,0,2,0,0,8.4,32.1,23.1,106.0,5.0,0.0,-0.8558475122559016,0.1131672804049616,-0.37134011592547,10,5.2631578947368425,3.788732394366197,2.2735465872743936,2.0,8.336507936507937,61.58730158730159,315.0,194.0,0.616,12.0,24.0,2626.0,8.3,189.0,56.0,11.0,820.0,4.3
23.0,74.0,212.0,1,0,0,1,0,0,10.5,34.6,22.0,29.0,5.0,0.0,-0.2941975823379641,-0.6317098936038057,-0.4629537379708849,10,5.2631578947368425,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
22.0,74.0,207.0,1,1,0,3,5,1,24.3,43.3,20.2,4.0,5.0,0.0,-0.2941975823379641,-1.1637650178957823,-0.7289813001168732,10,4.166666666666666,3.788732394366197,2.2735465872743936,7.5,9.02445652173913,64.94565217391305,368.0,239.0,0.649,4.0,30.0,3321.0,9.0,112.0,67.0,6.0,404.0,3.6
24.0,,,0,1,0,3,0,0,16.4,40.3,24.7,11.0,5.0,0.0,,,,10,4.761904761904762,3.788732394366197,2.2735465872743936,3.6666666666666665,9.032119914346897,65.73875802997858,467.0,307.0,0.657,9.0,33.0,4218.0,9.0,29.0,11.0,3.0,-18.0,-0.6
22.0,75.0,217.0,1,1,0,2,4,1,2.8,26.5,24.4,98.0,5.0,0.0,0.2674523475799732,-0.099654769311829,0.083898789134072,10,4.761904761904762,3.788732394366197,2.2735465872743936,4.4,8.501766784452297,65.37102473498233,283.0,185.0,0.654,5.0,22.0,2406.0,8.5,98.0,26.0,5.0,286.0,2.9
