age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
23.0,77.0,300.0,5.0,33.5,115.0,1,0,0,1,7.943233708895934,3,1,96.0,,,,,5.0,0.0,0.1102343367295766,-1.2175624261856706,-0.553664044728047,3,0.4615384615384615,4.724137931034483,1.7091466484798348
23.0,,,,,,0,0,0,3,,0,0,,10.7,33.0,22.2,56.0,5.0,0.0,,,,1,0.0680272108843537,6.25,0.5
22.0,76.0,308.0,5.29,25.0,101.0,1,1,0,1,2.3574338345689294,4,1,78.660739331734,-6.3,29.9,35.1,112.0,5.0,0.0,-0.5685771052367812,-0.55110720343141,-0.5598421543340956,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,79.0,314.0,5.12,28.5,111.0,1,0,0,1,5.617386115939343,4,1,91.38602763414384,25.0,37.9,14.6,16.0,5.0,0.0,1.4678572206622924,-0.0512657863657145,0.708295717148289,8,1.568627450980392,5.0,2.273030282830976
21.0,75.0,307.0,5.08,33.0,113.0,1,0,0,3,5.856217892942395,6,1,92.19630628485636,20.7,35.7,16.0,6.0,4.0,0.0,-1.247388547203139,-0.6344141062756925,-0.9409013267394156,3,0.5263157894736842,4.3125,1.8874586088176872
24.0,,,,,,0,0,0,3,,0,0,,7.8,41.7,35.0,57.0,5.0,0.0,,,,3,0.5660377358490566,4.724137931034483,1.7091466484798348
23.0,80.0,311.0,5.16,28.0,112.0,1,0,0,3,3.527164180723282,6,1,87.73877735296274,10.3,35.1,24.6,56.0,5.0,0.0,2.14666866262865,-0.3011864948985622,0.922741083865044,8,1.4035087719298245,3.631578947368421,1.9785478244406585
22.0,75.0,327.0,5.22,30.5,108.0,1,1,0,3,4.694160704430239,3,1,88.08373797014615,4.1,28.0,25.6,14.0,5.0,0.0,-1.247388547203139,1.031723950609959,-0.10783229829659,3,0.5084745762711864,4.724137931034483,1.7091466484798348
24.0,77.0,302.0,5.08,29.0,108.0,1,0,0,1,6.204550573766233,5,1,90.69473777858832,,,,,5.0,0.0,0.1102343367295766,-1.0509486204971052,-0.4703571418837642,8,1.509433962264151,3.631578947368421,1.9785478244406585
24.0,78.0,306.0,5.35,26.0,106.0,1,0,0,3,2.008937537754453,6,1,74.7026991636937,-7.0,22.9,29.1,7.0,5.0,0.0,0.7890457786959345,-0.717721009119975,0.0356623847879797,8,1.4035087719298245,3.631578947368421,1.9785478244406585
