age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
22.0,74.0,320.0,4.99,32.0,111.0,1,0,0,1,6.805470955042932,5,1,103.22331244152802,26.5,38.7,12.2,48.0,5.0,0.0,-1.926199989169497,0.4485756306999808,-0.7388121792347581,3,0.5357142857142857,4.3125,1.8874586088176872
24.0,77.0,323.0,,,,1,0,0,2,,0,0,,9.6,36.7,28.3,105.0,5.0,0.0,0.1102343367295766,0.6984963392328286,0.4043653379812026,3,0.5263157894736842,4.724137931034483,1.7091466484798348
24.0,77.0,310.0,5.14,28.0,104.0,1,0,0,1,3.573032969698416,6,1,88.82581757143252,-1.4,25.4,26.9,4.0,5.0,0.0,0.1102343367295766,-0.3844933977428448,-0.137129530506634,3,0.5357142857142857,4.724137931034483,1.7091466484798348
21.0,76.0,321.0,5.05,,,1,0,0,3,6.58146106867923,1,0,98.71190098527492,33.1,48.9,17.7,3.0,4.0,0.0,-0.5685771052367812,0.5318825335442634,-0.0183472858462588,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,76.0,310.0,5.11,25.5,107.0,1,0,0,3,2.867160217051,5,1,90.9301879913273,19.0,35.6,15.5,28.0,5.0,0.0,-0.5685771052367812,-0.3844933977428448,-0.476535251489813,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,76.0,313.0,,,,1,0,0,3,10.0,1,0,,12.8,35.6,23.8,58.0,5.0,0.0,-0.5685771052367812,-0.1345726892099971,-0.3515748972233891,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,75.0,337.0,,,,1,0,0,3,,0,0,,26.8,34.2,10.0,12.0,5.0,0.0,-1.247388547203139,1.8647929790527844,0.3087022159248227,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,76.0,332.0,5.21,29.5,98.0,1,0,0,3,3.2877977525195723,5,1,90.11917061498136,24.3,43.3,20.2,4.0,5.0,0.0,-0.5685771052367812,1.4482584648313717,0.4398406797972952,3,0.5660377358490566,4.3125,1.8874586088176872
22.0,,,,,,1,0,0,3,,0,0,,28.3,46.8,18.6,6.0,5.0,0.0,,,,1,0.0680272108843537,6.25,0.5
23.0,,,,,,0,0,0,1,,0,0,,,,,,5.0,0.0,,,,8,1.2307692307692308,5.0,2.273030282830976
24.0,,,,,,0,1,0,3,,0,0,,31.2,41.5,12.2,37.0,5.0,0.0,,,,8,1.2307692307692308,5.0,2.273030282830976
22.0,74.0,314.0,5.21,24.5,104.0,1,0,0,3,2.9818907238156585,4,1,85.23319148525344,28.1,43.5,14.6,49.0,5.0,0.0,-1.926199989169497,-0.0512657863657145,-0.9887328877676056,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,79.0,325.0,4.89,28.0,111.0,1,0,0,1,6.968687188678375,5,1,113.67839156917934,11.4,23.6,14.4,23.0,5.0,0.0,1.4678572206622924,0.8651101449213937,1.166483682791843,8,1.3559322033898304,3.631578947368421,1.9785478244406585
21.0,77.0,320.0,4.85,36.5,121.0,1,0,0,3,7.617654412823055,6,1,115.66794493677186,16.7,30.0,15.2,31.0,4.0,0.0,0.1102343367295766,0.4485756306999808,0.2794049837147788,8,1.4035087719298245,3.631578947368421,1.9785478244406585
22.0,76.0,314.0,,,,1,1,0,3,,0,0,,20.3,37.7,16.4,10.0,5.0,0.0,-0.5685771052367812,-0.0512657863657145,-0.3099214458012478,3,0.5263157894736842,4.3125,1.8874586088176872
23.0,77.0,331.0,5.37,25.0,93.0,1,0,0,3,0.199562483394609,6,1,79.60875767506579,3.5,33.1,28.7,11.0,5.0,0.0,0.1102343367295766,1.3649515619870891,0.7375929493583329,8,1.4035087719298245,3.631578947368421,1.9785478244406585
22.0,79.0,313.0,5.3,29.5,111.0,1,0,0,3,5.0851120259201865,6,1,79.33610130992015,1.6,30.0,28.4,61.0,5.0,0.0,1.4678572206622924,-0.1345726892099971,0.6666422657261477,8,1.4285714285714284,3.631578947368421,1.9785478244406585
21.0,78.0,319.0,4.98,32.0,113.0,1,0,0,3,7.346069005266834,3,1,103.72974438292576,15.9,36.8,21.7,10.0,4.0,0.0,0.7890457786959345,0.3652687278556983,0.5771572532758165,8,1.568627450980392,5.0,2.273030282830976
22.0,75.0,312.0,5.18,32.0,112.0,1,0,0,1,6.989365543245545,6,1,86.66935224173496,,,,,5.0,0.0,-1.247388547203139,-0.2178795920542796,-0.7326340696287094,3,0.5084745762711864,4.724137931034483,1.7091466484798348
