age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,dominator_rating,team_total_yards,rush_att,rush_long,rush_td,rush_yds,rush_ypc,rec,rec_long,rec_td,rec_yds,rec_ypr
23.0,71.0,189.0,4.34,38.0,121.0,1,1,0,3,6.15304993653516,4,1,106.54495291143998,-3.0,20.8,23.7,20.0,5.0,0.0,-0.6018817281816898,-1.0160797302810043,-0.8089807292313471,7,0.875,3.888324873096447,2.0498172482106414,16.608738828202583,4028.0,9.0,13.0,0.0,51.0,5.7,55.0,57.0,3.0,618.0,11.2
20.0,73.0,235.0,,32.0,117.0,1,1,0,3,4.410629607381048,3,1,,9.4,22.2,14.1,73.0,3.0,1.0,0.0723039738400089,0.9365796499595728,0.5044418118997909,2,0.2631578947368421,4.434426229508197,1.7860233537478658,22.49344361508977,4957.0,181.0,52.0,12.0,984.0,5.4,28.0,24.0,0.0,131.0,4.7
22.0,72.0,205.0,4.5,40.0,128.0,1,1,0,3,5.371541320289147,4,1,99.9847584209724,-8.0,30.1,36.1,22.0,5.0,0.0,-0.2647888771708405,-0.3368938588929776,-0.3008413680319091,7,0.9333333333333332,3.888324873096447,2.0498172482106414,22.685097519409204,5281.0,1.0,6.0,0.0,6.0,6.0,65.0,86.0,8.0,1192.0,18.3
22.0,70.0,194.0,4.39,32.5,117.0,1,1,0,3,3.863902786650767,3,1,104.4656821784036,17.5,38.2,21.1,60.0,5.0,0.0,-0.9389745791925392,-0.8038341454722461,-0.8714043623323927,2,0.2439024390243902,4.434426229508197,1.7860233537478658,25.98412173337744,6046.0,216.0,71.0,14.0,1268.0,5.9,35.0,33.0,4.0,303.0,8.7
23.0,76.0,241.0,,32.0,117.0,1,1,0,3,2.977909311973665,5,1,,15.4,40.8,26.5,32.0,5.0,0.0,1.0835825268725572,1.1912743517300828,1.13742843930132,5,0.6578947368421052,4.105882352941176,1.7184123999990772,7.813259847625223,6169.0,10.0,6.0,0.0,26.0,2.6,35.0,78.0,7.0,456.0,13.0
21.0,71.0,217.0,4.39,40.0,126.0,1,0,0,3,7.371121314071425,3,1,116.85078882842052,11.4,23.6,14.4,23.0,4.0,0.0,-0.6018817281816898,0.1724955446480425,-0.2146930917668236,2,0.25,4.434426229508197,1.7860233537478658,0.0,4252.0,,,,,,,,,,
22.0,74.0,208.0,4.5,36.5,119.0,1,1,0,3,3.87037990871889,4,1,101.4479500076208,9.4,43.3,32.8,18.0,5.0,0.0,0.4093968248508584,-0.2095465080077226,0.0999251584215678,7,0.9210526315789472,3.888324873096447,2.0498172482106414,13.04419525065963,6064.0,,,,,,45.0,75.0,12.0,791.0,17.6
22.0,76.0,253.0,4.7,36.0,124.0,1,0,0,1,3.872625360772664,6,1,103.6953030331286,,,,,5.0,0.0,1.0835825268725572,1.700663755271103,1.39212314107183,5,0.6578947368421052,4.105882352941176,1.7184123999990772,,,,,,,,,,,,
21.0,74.0,247.0,4.64,31.0,116.0,1,1,0,3,2.249689545854847,4,1,106.57492279412288,12.8,32.6,20.2,32.0,4.0,0.0,0.4093968248508584,1.445969053500593,0.9276829391757256,5,0.6578947368421052,4.105882352941176,1.7184123999990772,9.896907216494846,4850.0,1.0,0.0,0.0,0.0,0.0,30.0,76.0,5.0,480.0,16.0
23.0,,,,,,0,1,0,3,,0,0,,26.0,40.9,15.6,1.0,5.0,0.0,,,,2,0.25,4.434426229508197,1.7860233537478658,18.28485593336065,7323.0,223.0,63.0,14.0,1071.0,4.8,31.0,51.0,2.0,268.0,8.6
21.0,75.0,209.0,4.33,38.5,126.0,1,1,0,3,5.675015271859249,4,1,118.9117296781256,19.1,44.6,25.0,10.0,4.0,0.0,0.7464896758617078,-0.1670973910459709,0.2896961424078684,7,0.9210526315789472,3.888324873096447,2.0498172482106414,15.18754423213022,7065.0,1.0,0.0,0.0,-6.0,-6.0,60.0,86.0,15.0,1079.0,18.0
24.0,,,,,,0,1,0,3,,0,0,,9.4,37.7,27.8,76.0,5.0,0.0,,,,2,0.25,4.434426229508197,1.7860233537478658,14.067220543806648,5296.0,102.0,48.0,7.0,616.0,6.0,18.0,14.0,0.0,129.0,7.2
21.0,75.0,243.0,,,,1,1,0,3,,0,0,,31.2,41.5,12.2,37.0,4.0,0.0,0.7464896758617078,1.2761725856535862,1.011331130757647,5,0.6578947368421052,4.105882352941176,1.7184123999990772,10.676258992805757,6950.0,6.0,14.0,1.0,28.0,4.7,56.0,49.0,6.0,714.0,12.8
21.0,75.0,212.0,,,,1,1,0,3,,0,0,,4.8,23.4,20.8,1.0,4.0,0.0,0.7464896758617078,-0.0397500401607158,0.353369817850496,7,0.9333333333333332,3.888324873096447,2.0498172482106414,18.776607663006946,4463.0,2.0,15.0,0.0,22.0,11.0,71.0,75.0,6.0,816.0,11.5
23.0,76.0,245.0,4.66,33.5,116.0,1,1,0,3,3.377173837569312,6,1,103.90882007518918,-0.7,30.8,31.0,34.0,5.0,0.0,1.0835825268725572,1.3610708195770895,1.2223266732248232,5,0.6666666666666666,4.105882352941176,1.7184123999990772,17.592200084781688,4718.0,,,,,,61.0,72.0,7.0,830.0,13.6
23.0,73.0,212.0,4.43,39.5,122.0,1,0,0,3,6.08192555532961,4,1,110.09078075109204,-7.3,19.3,26.0,47.0,5.0,0.0,0.0723039738400089,-0.0397500401607158,0.0162769668396465,7,0.9210526315789472,3.888324873096447,2.0498172482106414,0.0,3815.0,,,,,,,,,,
22.0,69.0,192.0,4.55,29.5,115.0,1,0,0,3,1.6421999821502071,3,1,89.59538453109731,26.2,45.0,18.2,52.0,5.0,0.0,-1.2760674302033888,-0.8887323793957494,-1.0823999047995692,2,0.2631578947368421,4.434426229508197,1.7860233537478658,0.0,7440.0,,,,,,,,,,
23.0,77.0,247.0,,,,1,1,0,3,,0,0,,-0.7,22.8,23.6,62.0,5.0,0.0,1.4206753778834067,1.445969053500593,1.4333222156919998,5,0.625,4.105882352941176,1.7184123999990772,6.441638752898737,3881.0,,,,,,28.0,25.0,1.0,250.0,8.9
24.0,76.0,247.0,4.65,34.5,117.0,1,0,0,2,2.486035035022085,4,1,105.66110236105104,-1.6,18.5,18.1,130.0,5.0,0.0,1.0835825268725572,1.445969053500593,1.264775790186575,5,0.6578947368421052,4.105882352941176,1.7184123999990772,0.0,4524.0,,,,,,,,,,
24.0,,,,,,0,1,0,3,,0,0,,7.7,23.6,17.2,65.0,5.0,0.0,,,,5,0.6097560975609757,4.105882352941176,1.7184123999990772,1.3643254168772108,3958.0,,,,,,4.0,20.0,4.0,54.0,13.5
23.0,,,,,,0,1,0,2,,0,0,,1.0,29.6,27.9,115.0,5.0,0.0,,,,7,0.875,3.888324873096447,2.0498172482106414,23.2887189292543,5230.0,1.0,69.0,1.0,69.0,69.0,74.0,75.0,8.0,1149.0,15.5
