player,position,school,independent_grade,pick_slot,modal_round,probability,most_likely_team,n_r1_landings,n_any_landings,mean_landing_pick,variance_landing_pick
Devan Boykin,S,Indiana,206.5,241,7,0.02,CHI,0,2,247.0,36.0
Miles Scott,S,Illinois,212.6,241,7,0.2,CHI,0,10,240.0,1.0
Cameron Robertson,EDGE,SMU,197.01,242,7,0.06,NYJ,0,3,237.33,43.5556
Zaire Patterson,EDGE,Clemson,197.7,242,7,0.04,NYJ,0,3,237.67,37.5556
Jahiem Lawson,EDGE,Clemson,189.34,242,7,0.22,NYJ,0,33,229.64,223.9284
Dominic Bailey,EDGE,Tennessee,208.7,242,7,0.1,NYJ,0,5,236.4,47.04
Davion Carter,IOL,Texas Tech,179.98,243,7,0.04,HOU,0,4,233.5,290.25
Austin Leausa,IOL,BYU,179.13,243,7,0.1,HOU,0,10,234.6,240.24
Connor Tollison,IOL,Missouri,178.72,243,7,0.08,MIN,0,9,232.56,247.1358
Gavin Gerhardt,IOL,Cincinnati,180.61,243,7,0.06,HOU,0,3,243.0,0.0
Sam Hecht,IOL,Kansas State,67.0,243,7,0.26,NYG,4,37,185.89,4003.7721
Tomas Rimac,IOL,Virginia Tech,173.68,244,7,0.24,HOU,0,41,194.02,1649.4384
Nick Dawkins,IOL,Penn State,178.68,244,7,0.14,MIN,0,12,233.83,268.8056
Jeffrey M'ba,DL,SMU,187.61,245,7,0.18,JAX,0,11,238.73,37.8347
Aiden Fisher,LB,Indiana,174.8,245,7,0.3,JAX,0,26,240.65,186.2263
David Blay,DL,Miami (FL),186.95,245,7,0.22,JAX,0,13,238.23,39.716
Bernard Gooden,DL,LSU,190.57,245,7,0.08,JAX,0,4,245.0,0.0
Terry Webb,DL,SMU,190.94,245,7,0.06,JAX,0,3,245.0,0.0
Jaydn Ott,RB,Oklahoma,201.81,246,7,0.2,DEN,0,12,222.33,2039.2222
Tim Keenan III,DL,Alabama,176.38,247,7,0.06,NE,0,4,231.5,248.25
Jack Kelly,LB,BYU,180.15,248,7,0.3,DEN,0,33,223.0,1456.4848
Kam Dewberry,IOL,Alabama,181.87,248,7,0.08,CLE,0,4,227.0,441.0
Jaiden Ausberry,LB,Notre Dame,195.66,248,7,0.04,CLE,0,2,248.0,0.0
Malik Benson,WR,Oregon,196.55,249,7,0.22,LAR,0,45,201.07,1292.9956
Jackson Kuwatch,EDGE,Miami (OH),193.19,250,7,0.26,BAL,0,38,224.63,678.2327
Romello Brinson,WR,SMU,197.64,251,7,0.32,LAR,0,44,200.36,2143.9132
Keelan Marion,WR,Miami (FL),207.47,251,7,0.16,LAR,0,10,251.6,1.44
J.Michael Sturdivant,WR,Florida,226.44,252,7,0.02,LAR,0,2,212.0,1600.0
DT Sheffield,WR,Rutgers,209.05,252,7,0.04,LAR,0,3,252.67,0.8889
Dane Key,WR,Nebraska,204.9,252,7,0.26,LAR,0,19,238.42,264.7701
Will Pauling,WR,Notre Dame,205.74,252,7,0.18,LAR,0,18,242.61,104.571
Ayden Williams,WR,Mississippi State,203.64,252,7,0.32,IND,0,40,231.55,791.0475
Cameron Dorner,WR,North Texas,205.51,254,7,0.14,LAR,0,17,242.53,115.8962
Caleb Douglas,WR,Texas Tech,205.28,254,7,0.08,LAR,0,9,246.67,84.2222
Jayden Ballard,WR,Wisconsin,223.4,254,7,0.02,IND,0,1,254.0,0.0
Jeff Caldwell,WR,Cincinnati,205.95,254,7,0.04,IND,0,4,252.75,1.6875
Max Tomzcak,WR,Youngstown State,204.22,254,7,0.24,LAR,0,24,227.17,752.2222
Brent Austin,CB,California,210.48,255,7,0.06,GB,0,3,248.67,80.2222
Makari Vickers,CB,Colorado,208.56,255,7,0.2,GB,0,13,242.46,147.9408
Ricardo Hallman,CB,Wisconsin,208.25,255,7,0.12,GB,0,11,239.64,207.686
Jalen McMurray,CB,Tennessee,208.24,255,7,0.08,GB,0,10,232.2,156.56
Tony Grimes,CB,Purdue,210.89,255,7,0.02,GB,0,1,255.0,0.0
Dean Connors,RB,Houston,212.26,256,7,0.24,DEN,0,12,239.33,980.0556
Eric Gentry,LB,USC,179.12,256,7,0.12,DEN,0,6,254.5,14.5833
Wade Woodaz,LB,Clemson,191.48,256,7,0.3,DEN,0,19,243.16,1099.3961
Namdi Obiazor,LB,TCU,211.04,257,7,0.02,DEN,0,1,257.0,0.0
Nick Singleton,RB,Penn State,72.69,257,7,0.68,DEN,0,34,232.18,1620.263
DJ Rogers,TE,TCU,187.83,257,7,0.06,DEN,0,3,257.0,0.0
