pick,round,team,player,position,college,rank,trade_from,trade_to
132,4,NO,L.T. Overton,EDGE,Alabama,152,,
133,4,SF,Carver Willis,OT,Washington,221,,
134,4,LV,Dametrious Crownover,OT,Texas A&M,148,,
135,4,PIT,Kendrick Law,WR,Kentucky,205,,
136,4,NO,Kaden Wetjen,WR,Iowa,225,,
137,4,PHI,Isaiah World,OT,Oregon,184,,
138,4,SF,Colbie Young,WR,Georgia,244,,
139,4,SF,Alex Harkey,OT,Oregon,253,,
140,4,NYJ,Tyre West,EDGE,Tennessee,327,,
141,5,HOU,Billy Schrauth,IOL,Notre Dame,168,,
142,5,TEN,Chris Hilton,WR,LSU,709,,
143,5,ARI,Adam Randall,RB,Clemson,179,,
144,5,TEN,Caleb Douglas,WR,Texas Tech,151,,
145,5,NYG,Tacario Davis,CB,Washington,160,,
146,5,CLE,Eli Heidenreich,WR,Navy,226,,
147,5,WAS,Alan Herron,IOL,Maryland,283,,
148,5,KC,C.J. Daniels,WR,Miami (FL),251,,
149,5,CLE,Jack Kelly,LB,BYU,197,,
150,5,NO,Ephesians Prysock,CB,Washington,176,,
151,5,MIA,Anthony Lucas,EDGE,USC,170,,
152,5,DAL,Latrell McCutchin,CB,Houston,266,,
153,5,GB,Nyjalik Kelly,EDGE,UCF,306,,
154,5,BAL,Chris McClellan,DL,Missouri,159,,
155,5,TB,Caden Curry,EDGE,Ohio State,182,,
156,5,IND,Jerand Bradley,WR,Kansas State,630,,
157,5,DET,Tanner Koziol,TE,Houston,203,,
158,5,CAR,Jakobe Thomas,S,Miami (FL),195,,
159,5,CAR,Nadame Tucker,EDGE,Western Michigan,147,,
160,5,GB,Ethan Onianwa,OT,Ohio State,654,,
161,5,PIT,Harold Perkins,LB,LSU,130,,
162,5,BAL,Chandler Rivers,CB,Duke,149,,
163,5,MIN,Cole Wisniewski,S,Texas Tech,238,,
164,5,JAX,Louis Moore,S,Indiana,219,,
165,5,BUF,Gavin Ortega,OT,Weber State,697,,
166,5,JAX,Devon Marshall,CB,NC State,227,,
167,5,HOU,Kaelon Black,RB,Indiana,215,,
168,5,BUF,Xavian Sorey Jr.,LB,Arkansas,290,,
169,5,KC,Rene Konga,DL,Louisville,233,,
170,5,DEN,Nick Barrett,DL,South Carolina,192,,
171,5,NE,Jack Endries,TE,Texas,169,,
172,5,NO,Max Llewellyn,EDGE,Iowa,183,,
173,5,BAL,George Gumbs Jr.,EDGE,Florida,202,,
174,5,BAL,Kage Casey,OT,Boise State,157,,
175,5,LV,Pat Coogan,IOL,Indiana,217,,
176,5,KC,Trey Moore,EDGE,Texas,224,,
177,5,DAL,Rayshaun Benny,DL,Michigan,172,,
178,5,PHI,Vincent Anthony Jr.,EDGE,Duke,237,,
179,5,NYJ,Cian Slone,EDGE,NC State,361,,
180,5,DAL,Beau Stephens,IOL,Iowa,181,,
181,5,DET,Andre Fuller,CB,Toledo,236,,
182,6,BUF,J.Michael Sturdivant,WR,Florida,254,,
183,6,ARI,Zavion Thomas,WR,LSU,262,,
184,6,TEN,James Brockermeyer,IOL,Miami (FL),322,,
185,6,LV,Aamil Wagner,OT,Notre Dame,223,,
186,6,NYG,Logan Fano,EDGE,Utah,239,,
187,6,WAS,Eric Rivers,WR,Georgia Tech,272,,
188,6,SEA,Keyshawn James-Newby,EDGE,New Mexico,314,,
189,6,CIN,Jonah Coleman,RB,Washington,174,,
190,6,NO,Robert Spears-Jennings,S,Oklahoma,220,,
191,6,NE,Quintayvious Hutchins,EDGE,Boston College,242,,
192,6,NYG,Logan Taylor,IOL,Boston College,241,,
193,6,NYG,J.C. Davis,OT,Illinois,190,,
194,6,TEN,Domani Jackson,CB,Alabama,208,,
195,6,TB,Jalen Huskey,CB,Maryland,216,,
196,6,MIN,Wesley Williams,DL,Duke,211,,
197,6,PHI,Thaddeus Dixon,CB,North Carolina,222,,
198,6,NE,Malik Spencer,S,Michigan State,660,,
199,6,CIN,Kapena Gushiken,S,Mississippi,511,,
200,6,CAR,Dalton Johnson,S,Arizona,229,,
201,6,GB,Lorenzo Styles Jr.,CB,Ohio State,234,,
202,6,NE,Landon Robinson,DL,Navy,213,,
203,6,JAX,Drew Shelton,OT,Penn State,191,,
204,6,LAC,Jack Pyburn,EDGE,LSU,280,,
205,6,DET,Caden Barnett,OT,Wyoming,243,,
206,6,CLE,Diego Pavia,QB,Vanderbilt,249,,
207,6,LAR,Barion Brown,WR,LSU,259,,
208,6,LV,Nolan Rucci,OT,Penn State,260,,
209,6,WAS,Dallen Bentley,TE,Utah,204,,
210,6,KC,Jaden Dugger,LB,Louisiana-Lafayette,281,,
211,6,BAL,Collin Wright,CB,Stanford,240,,
212,6,NE,Tyren Montgomery,WR,John Carroll,261,,
213,6,DET,Matt Gulbin,IOL,Michigan State,201,,
214,6,IND,Kendal Daniels,S,Oklahoma,252,,
215,6,ATL,Jeremiah Williams,EDGE,Texas A&M,286,,
216,6,PIT,Marlin Klein,TE,Michigan,196,,
217,7,ARI,Jamarion Miller,RB,Alabama,267,,
218,7,DAL,Ethan Burke,EDGE,Texas,292,,
219,7,LV,Eric McAlister,WR,TCU,274,,
220,7,BUF,Jarod Washington,CB,South Carolina State,601,,
221,7,CIN,Tristan Leigh,OT,Clemson,650,,
222,7,DET,Skyler Gill-Howard,DL,Texas Tech,247,,
223,7,WAS,Jordan van den Berg,DL,Georgia Tech,248,,
224,7,PIT,Harrison Wallace III,WR,Mississippi,284,,
225,7,TEN,DeShon Singleton,S,Nebraska,269,,
226,7,CIN,Skyler Thomas,S,Oregon State,565,,
227,7,MIA,Jordan Hudson,WR,SMU,307,,
228,7,NYJ,Joe Fagnano,QB,UConn,264,,
229,7,TB,Bauer Sharp,TE,LSU,315,,
230,7,PIT,Chase Roberts,WR,BYU,294,,
231,7,ATL,Avery Smith,CB,Toledo,268,,
232,7,LAR,Lewis Bond,WR,Boston College,297,,
233,7,JAX,Aidan Hubbard,EDGE,Northwestern,293,,
234,7,MIN,D.J. Campbell,IOL,Texas,246,,
235,7,MIN,David Gusta,DL,Kentucky,255,,
236,7,GB,Toriano Pride,CB,Missouri,263,,
237,7,PIT,Emmanuel Henderson,WR,Kansas,304,,
238,7,MIA,Ahmari Harvey,CB,Georgia Tech,285,,
239,7,CHI,Anterio Thompson,DL,Washington,326,,
240,7,JAX,Enrique Cruz Jr.,OT,Kansas,271,,
241,7,CHI,Patrick Payton,EDGE,LSU,303,,
242,7,NYJ,Nick Dawkins,IOL,Penn State,347,,
243,7,HOU,Jacob Thomas,S,James Madison,532,,
244,7,MIN,Bryson Eason,DL,Tennessee,256,,
245,7,JAX,Aaron Anderson,WR,LSU,313,,
246,7,DEN,Wade Woodaz,LB,Clemson,288,,
247,7,NE,Micah Pettus,OT,Florida State,291,,
248,7,CLE,Cam Porter,RB,Northwestern,706,,
249,7,IND,Eric Gentry,LB,USC,250,,
250,7,BAL,Xavier Nwankpa,S,Iowa,275,,
251,7,LAR,Dillon Bell,WR,Georgia,320,,
252,7,LAR,Vinny Anthony II,WR,Wisconsin,333,,
253,7,BAL,Bryan Thomas Jr.,EDGE,South Carolina,323,,
254,7,IND,Zach Durfee,EDGE,Washington,325,,
255,7,GB,Cameron Ball,DL,Arkansas,257,,
256,7,DEN,Romello Brinson,WR,SMU,421,,
257,7,DEN,Micah Morris,IOL,Georgia,273,,
